ts,ax,ay,az,gx,gy,gz
1776353553980,-1.755249621825013,-0.9572317512512206,-9.022698593902588,1.3170582272992715,-20.157126212494692,-137.92758334443022
1776353553997,-1.2693762128191999,-0.9739905783504247,-9.00204802006185,-4.735469189312806,-24.382960836886998,-140.7867551725109
1776353554013,-0.8794206356875598,-0.9638155135557055,-9.726893157196045,1.516620666756294,-28.282869079370048,-141.0227928498482
1776353554030,-0.7571667773479129,-0.9666586280271411,-10.162488221740722,21.587707626606573,-28.632972623393854,-140.72461411144212
1776353554047,-0.47539917860142883,-0.9412205276489257,-10.129867224121092,45.53152998854406,-38.020558788483214,-138.86808673276263
1776353554063,-0.33414122585328293,-1.2211921920225024,-9.797970434460042,59.84988777207357,-44.14030924707167,-133.78342070703835
1776353554079,-0.5089179744441528,-1.2566563041135668,-8.99591346282959,55.286020255468166,-55.56222627531431,-126.16640740501846
1776353554096,-0.34775832086065783,-1.581370196533203,-8.007407452392577,34.24685195129449,-80.15720130668038,-119.69231697757348
1776353554113,-1.069161226852797,-2.120364845275879,-8.81679725112915,31.296968380846852,-81.39800079206158,-128.21109283495346
1776353554130,-0.7715320329746231,-2.3579890677854416,-9.10380159061849,36.762916056608766,-96.73187110138858,-131.25185207230814
1776353554147,-0.061501603134535246,-2.076820302581787,-10.469095671844482,60.472500496055254,-119.60878376402424,-123.09734386374326
1776353554163,-0.4405336899906397,-0.4529533188417554,-9.300126711273192,60.66424439662502,-142.04993035761308,-114.57907344036187
1776353554180,-0.5636854378849268,-0.3497033722475171,-8.45228004837036,55.12522735712231,-154.4507808335532,-118.536676290764
1776353554196,-0.35913083354532715,-4.082263468170166,-7.672069582366943,46.13142891844087,-194.76987927775872,-131.7427650887136
1776353554213,-0.833332253729552,-5.3658548332214355,-7.9087956869930025,37.99108652221461,-225.81356716870857,-136.56692769949362
1776353554230,-1.3250415658146142,-4.980239020593464,-8.352771041870117,30.077960614012582,-247.02034831511435,-131.46715329532526
1776353554247,-2.0494372056156394,-4.5139679550170895,-9.388562535095215,5.9401250211535865,-293.8244654894369,-124.1821554888597
1776353554263,-2.6687869553163646,-4.065055143737792,-10.921000650677085,-13.42080603979272,-267.2942622246798,-104.61898423413662
1776353554280,-3.222297036145627,-3.5697549675539135,-11.523142368206381,-34.80698551984348,-197.02774857206816,-80.96784230832334
1776353554297,-4.421492792676389,-2.704251067407429,-10.408492442321776,-64.29705126142555,-145.11964959704858,-57.438318730871316
1776353554313,-3.8830966943487524,-2.401085282190144,-8.876353017425537,-61.464687925837154,-145.86140814091195,-48.382300683945644
1776353554330,-2.9469635529667135,-3.211821819360554,-8.58725258243978,-20.270299031947218,-159.79611419876184,-64.42401081771774
1776353554346,-1.9882354256778954,-3.159598295648396,-7.500883579143881,12.469628773334867,-167.17408454020963,-60.91932464136832
1776353554363,0.062248366381227965,-1.2488757332399487,-5.4131397314876315,10.655358921276584,-167.74855809092105,-25.88441400137422
1776353554380,0.3425204750061035,-1.692401298522949,-4.804862872204184,10.847950619077078,-168.52169452383148,-5.387263042749721
1776353554397,0.1746259145438671,-1.7654247414186597,-3.0056203245967623,0.359204824453701,-185.68473047402293,18.395475284028542
1776353554413,-1.274912384033203,-1.975366007232666,-1.427242295616865,-25.505128474121534,-188.96666369097073,32.27883197969828
1776353554430,-2.591274968829751,-2.0923829056337473,-0.9331389280021191,-76.80174793350656,-154.97487490894662,32.753188617555665
1776353554447,-4.21963137294352,-1.5280995018556713,-1.5472522383540868,-135.0627014782034,-104.47547512948547,33.323355733995406
1776353554463,-3.002329466357827,0.5771519454404711,-3.3044466193050144,-144.19210990776085,-122.40192132320925,52.80470815265091
1776353554480,-3.015048662677407,-0.3859156723573804,-5.486911070141196,-108.46018700070341,-145.6672941647002,59.555656883007764
1776353554497,-1.3702315376281737,1.0538976432800293,-6.024558395928144,-47.97393050365975,-186.88437123946562,95.25089484403306
1776353554513,-1.2802993377685545,1.8478750610902905,-3.394378234642744,-25.575643347112745,-202.73707637852513,118.5534648957439
1776353554530,-1.1896195344120264,1.8453306373044847,-2.206106607708335,-27.31830464213897,-228.06695585892248,138.87561360122797
1776353554547,-2.0636521934509275,2.6364650867737827,0.34910569861531254,-40.65454952491235,-249.3831019943185,157.9772894643008
1776353554563,-2.4114105691105125,3.5212720916748044,-0.6498755286067723,-42.72167212627085,-253.86337824076674,172.35646325220011
1776353554580,-2.4218846168518064,4.5736730666562915,-0.7493839505851269,-45.918122110661365,-248.84712338976928,194.84525724543897
1776353554597,-2.3535019854992627,7.2702924701414995,-0.6115680097833276,-53.429031839019686,-236.25539644728397,231.78140397487218
1776353554613,-3.2044898690372703,9.86859962089667,-0.9911987566523254,-54.28338605135073,-213.19543471489197,261.82489262414373
1776353554630,-4.110695197406411,11.295245174463092,-1.0877148649469017,-56.092334332271925,-185.97636589120413,287.53629281119964
1776353554647,-6.024411680933833,14.115614730127154,-0.6323673809776083,-67.44439560077826,-145.352518066611,315.3395886957337
1776353554663,-8.024317086139321,16.883760469818114,-1.255159252222534,-75.59564580910903,-102.71355270099983,332.3820035051827
1776353554680,-9.087942342707514,18.22301673120707,-2.0841519058451987,-76.41408005659497,-58.3877355160706,346.54093101310576
1776353554697,-10.711807865142822,21.031115418840944,-3.00217803865578,-80.51641461550969,7.260878700958952,363.71596077547974
1776353554713,-12.186486450195313,23.381623775482176,-3.0927088985282927,-96.04060131586994,51.31135900761391,373.27655904734013
1776353554730,-12.977920321002602,24.31850481262207,-3.3629548493098467,-118.10115610852732,88.35045034821756,376.68203672599515
1776353554747,-14.23682089691162,25.21767775813639,-4.611380537227355,-140.37240857670125,114.10782453857684,370.89703042353443
1776353554763,-15.448735849761961,25.43929046478271,-5.863249095607735,-147.88471507874485,119.13781489999518,357.00855108598716
1776353554780,-16.25258964168131,25.770736588066814,-6.361093366783857,-146.73285831673556,117.89239820673505,337.8252544623327
1776353554797,-15.984289710400997,24.95566289847493,-7.55654825628586,-129.17750996099693,111.40495475946271,318.20034512770184
1776353554813,-14.67735400238037,21.196765122985838,-8.274359476195276,-104.66831869051163,106.44366927090553,304.93789360872125
1776353554830,-14.366557283893227,16.70075251137614,-7.888294969951733,-74.39753500604041,112.64711345248874,276.3252203075407
1776353554847,-14.86275499343872,14.558991826850175,-7.436390064184367,-56.70073001749623,125.39109897195196,235.2390096572727
