ts,ax,ay,az,gx,gy,gz
1776353604946,-0.5361512420102954,-2.3615802241452037,-10.708665475463867,-5.173449947197995,2.6701676871417512,0.18666533475674613
1776353604963,-0.3070560706540942,-2.3312037905819714,-10.505607247161864,-1.2518302408907669,13.627730889566488,3.613404004915818
1776353604980,-0.029777590887248514,-2.2457608649656176,-9.526528405761718,-0.14225421747370673,16.691845105014355,8.979237329144624
1776353604996,-0.08529321494735777,-2.278681137792766,-8.701426658630371,-1.509653980524587,5.254455136980701,16.849933248448885
1776353605013,-0.30316541989110407,-2.335094368279725,-8.653841900634765,-1.2132325217259077,-10.965901155854029,18.49842331029356
1776353605030,-0.7963710349485278,-2.455552785436809,-9.088090226745605,3.774304051854278,-23.67469412561877,13.640773989560273
1776353605046,-1.319204822485149,-2.316988364355266,-9.527276593780517,8.67676923193978,-29.2676645369227,8.546977708462967
1776353605063,-1.4520830146238206,-2.221519427026063,-9.628880526733397,15.768516227349938,-26.123011292102984,2.8940512562944254
1776353605080,-1.3814540656492114,-2.2319940592892467,-9.505728194317221,19.27344146032032,-26.24621936699355,-0.6577536203745749
1776353605097,-1.2196958159849047,-2.159270329992473,-9.140912300872802,17.75297646427837,-27.70659748135961,-0.38186248292133734
1776353605113,-1.1240773871824146,-2.139667657769471,-8.927977990722656,19.19378779421963,-34.352596940024625,-0.47666177334141197
1776353605130,-1.2589008681699634,-2.300378590337932,-9.006238457489014,37.539238772767,-37.42952885922367,-3.107391147802716
1776353605147,-0.8369228255674243,-2.5737664924070236,-7.689576597484946,44.03256984310389,-48.454263557040896,5.624527165929862
1776353605163,-0.869394039452821,-2.0633523337215185,-6.534973431396484,31.93697418154997,-50.80909763190244,14.176299240303354
1776353605180,-1.0405796042844653,-2.1640584410518406,-4.819826632580161,5.828891121651698,-52.39769376491527,17.38343078678212
1776353605197,-0.7445964240476488,-2.7545287177488205,-4.838831192779541,-3.6161198588845447,-62.734133224597386,19.945304970859674
1776353605213,-1.8195932617187498,-2.353499939672649,-5.176713486590981,-1.7450637073450694,-87.22795656945016,12.399856683415894
1776353605230,-2.3587372558042405,-2.0353703940793872,-5.320065726470947,1.4729913393289567,-115.6126176655682,5.300666916244538
1776353605247,-2.845658310699463,-2.3084590209409592,-4.9622822158813475,0.02578668552029556,-145.9517988643879,-3.10128026292967
1776353605263,-2.457348728942871,-2.498049864904582,-5.127931043243408,2.261478408955572,-167.2315127707511,-2.0624268463041253
1776353605280,-2.7009581633418795,-2.157324748882651,-5.588665225219726,6.391367871972826,-169.32302597763572,11.217727669231461
1776353605296,-3.2128689903259278,-1.6029177192136643,-5.501427086749673,2.501909392033072,-163.91052453212916,26.150163001601076
1776353605313,-3.485807687322795,-1.538723187200725,-4.902427174377441,-16.853696682681562,-147.51688207118298,43.4162682139153
1776353605330,-0.7833522711604833,-2.243665646252036,-3.832069394683838,-41.8870230096953,-114.2035633001729,57.78708868045968
1776353605347,-3.755454941558838,-0.88435794595927,-5.56696777267456,-43.699553724836164,-111.45469219699874,59.00967205132445
1776353605363,-4.021808707207441,-1.0733500933773814,-5.862801315307617,-36.292169173727736,-109.72008369500396,65.10124456449202
1776353605380,-5.326948471722006,-1.0226229457028209,-5.177161814880371,-33.184511648547385,-106.32778828144708,59.20793878255158
1776353605397,-5.443516749572754,-0.37304625391215085,-5.0185459548950195,-24.647994374798294,-110.94515325472662,61.11756405183877
1776353605413,-4.782716506847739,0.2600705937258899,-4.620509928894043,-18.18343376879279,-135.15213597519553,77.51725806038958
1776353605430,-4.290708650207519,1.5948377270020544,-3.5474586723327635,-12.123853007923909,-181.16504403606376,123.27503806519032
1776353605447,-5.093514394378662,2.451213806384429,-2.606687057495117,-18.347821054189364,-182.1141944438854,135.1806588451695
1776353605463,-6.075735040935873,2.2456119580142198,-2.4548048896789547,-29.462171249011742,-168.9804646700029,128.96998149325526
1776353605480,-7.424120072937011,2.1793223168855533,-2.4322096115112304,-36.78721445458109,-166.24953647377836,123.0256132170798
1776353605497,-6.516119677844643,3.790021529421443,-1.7007810043334959,-40.56134817859294,-180.67290158560766,143.82669478716517
1776353605513,-5.756259341430663,4.904073480279743,-1.7335516395568846,-42.81927211441575,-219.2070940147704,179.34568654684745
1776353605530,-7.666832266235351,6.795493084064126,-3.0588918960571285,-43.19835444354063,-263.59757260057216,238.77245776021707
