ts,ax,ay,az,gx,gy,gz
1776353281671,-1.5887012700736522,0.7966682643294334,-9.374047687530517,0.8612710595261522,5.8892460882525155,-1.20697318696012
1776353281687,-1.624464657372236,0.893184445689246,-9.635165306091308,0.2555107601044186,1.6270725095982166,-0.7004715444345386
1776353281704,-1.692101146532595,0.905604512931779,-9.62768401042521,-1.608703356155702,-4.329435360609881,-0.9810561424254856
1776353281720,-1.608902492711693,0.8871989415388554,-9.70504606704712,-1.18446664642787,-5.849753080697855,-0.5062725643841213
1776353281737,-1.6368848707452415,1.044917195097357,-9.541941663470864,-0.04119292424519979,-0.8706910643303635,-0.871391478885407
1776353281754,-1.634490522954613,0.9003672698654234,-9.547477670288085,1.208039550244288,1.743781659493517,-0.44991758067684523
1776353281771,-1.786073269432783,0.7064368623275309,-9.60838017501831,0.3464520608604938,-0.21045717815257484,-1.0384643092862658
1776353281787,-1.61234430372864,0.7805074761886149,-9.71013433009684,-1.3897595078768277,-3.3753324253097348,-0.4552577213907374
1776353281804,-1.5839130128838121,0.8589176536239683,-9.658958269611,-1.1201151653889485,-2.039758515665911,-0.10367330697750791
1776353281821,-1.635986752861738,0.9458569552779197,-9.556156651306152,-0.2511431476148863,0.19579281536541035,-0.12077023096540186
1776353281837,-1.7121525854364037,0.9834160668868571,-9.53116775600016,0.15222293192819325,0.648566855858349,0.08882447572190019
1776353281854,-1.7184372186638415,0.9799743289351462,-9.57695627822876,-0.1411331593153255,-1.0988959020718345,0.7103575495670444
1776353281871,-1.7259189527213572,0.9380758729476482,-9.619154082489013,-0.4790085302906931,-2.142093532452919,1.0085448790704366
1776353281887,-1.7724563936211168,0.8997686463851481,-9.611223874011635,-0.7044665114079085,-1.0330432735193913,0.5364410297003916
1776353281904,-1.7741024072624743,0.9036592971481382,-9.613019525256753,0.1282867474252951,0.4191412285244438,-0.2913098359372917
1776353281921,-1.7157437417961656,0.8349754178266972,-9.545682019042967,0.3109448422125065,0.9630658510384951,-0.6957977206906929
1776353281937,-1.6424213159538805,0.7858945029892027,-9.58967547454834,0.12749743368933553,-0.8861648045341745,-1.2280919184303876
1776353281954,-1.64915500812307,0.8116320977706462,-9.613618075671791,0.10333414539653447,-1.8152171139187994,-1.4359217682691818
1776353281970,-1.6724984743095934,0.8319828849472105,-9.597157354736327,-0.49873187545786857,-1.1239787045816487,-1.6447535214818525
1776353281987,-1.69225049187541,0.8373696925520896,-9.651475804901123,-0.37084384032537293,-0.4714906264486247,-1.478645455301258
1776353282004,-1.7049699804559348,0.8367713613327592,-9.621997196960448,-0.12240923624236692,-0.8003300840388886,-1.1921703527597038
1776353282021,-1.724422722814232,0.8267456418808549,-9.553463174438477,-0.013992069401594247,-0.7117748671806751,-0.6398848850104694
1776353282037,-1.7155942503228783,0.797865511289984,-9.565734042468666,0.07486986563903524,-0.1731826213764203,-0.2163579546673634
1776353282054,-1.7199335947014391,0.7878397187728434,-9.592818448749185,-0.08722207599001819,0.3572695330410602,0.15033187666259884
1776353282070,-1.707812948796898,0.7450434371627866,-9.630078212085365,-0.07374613943800946,0.7034487064998708,0.10347053573652316
1776353282087,-1.6162347352959214,0.7845476184248924,-9.579799977222084,-0.08151286493710733,0.6298860750349525,0.12333747495882752
1776353282104,-1.588701562334597,0.8113328956283629,-9.520543486133217,0.5521892047706196,0.24423406442387463,-0.149958484094496
1776353282121,-1.603665176580101,0.8092379691757261,-9.488071541595458,1.2069966657353917,0.4973550587315821,-0.06543790800377654
1776353282137,-1.6879110013663767,0.8517349025130272,-9.641300447845458,1.0101021622011994,0.48626752727453576,0.5693506953905113
1776353282154,-1.6971886789299546,0.8672972133040427,-9.74185691757202,0.0491647155019567,-0.3606868421014615,1.159972734290558
1776353282170,-1.6421218946158884,0.9491489825606345,-9.78076269454956,-0.8237027779352607,-3.2766415278883394,1.2882865890291215
1776353282187,-1.6238662530876695,0.9455577531356364,-9.605836335754393,-0.7888517376952706,-1.7419889482798,1.2064995560298617
1776353282204,-1.6716007948175071,0.9199697959579527,-9.511115732574462,-0.0682461296088567,1.0949294831547614,1.2748556623565261
